"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"29","164.5291460789486","83.13649113255562","0.00439453125","0.00732421875","0.00146484375","2180","0.00014770963917409925","32","0.00014770963917409925","0","0.00014770963917409925","0.00014770963917409925","38:0.005822294060375405;28:0.003019432966424457;30:0.0021118452963674594","38:68;28:68;30:80","38:0.0026213245347408987;28:0.0021823631874605953;30:0.013308297956679066","0.00439453125","0.00439453125","Yes"
"30","177.18241657427112","53.638570967201844","0.006591796875","0.0107421875","0.00244140625","2180","0.0003163382761387879","32","0.0003163382761387879","0","0.0003163382761387879","0.0003163382761387879","31:0.0016173647286930326;29:0.0021118452963674594","31:68;29:80","31:0.011718314543170405;29:0.013308297956679066","0.006591796875","0.038330078125","Yes"
"31","290.379524217553","104.22993953128952","0.013671875","0.0146484375","0.0126953125","2180","0.00016689660507683917","32","0.00016689660507683917","0","0.00016689660507683917","0.00016689660507683917","30:0.0016173647286930326;32:0.0022617948842025004;18:0.0020927996952321837","30:68;32:68;18:68","30:0.011718314543170405;32:0.001899508213828005;18:0.0015345106830207955","0.013671875","0.084716796875","Yes"
"32","291.2359203526253","293.567441096731","0.025390625","0.0302734375","0.0205078125","2180","0.00023371351270510374","32","0.00023371351270510374","0","0.00023371351270510374","0.00023371351270510374","31:0.0022617948842025004;33:0.0029373783540359577","31:68;33:68","31:0.001899508213828005;33:0.0020002317013306514","0.025390625","0.029296875","Yes"
"33","234.18993951324055","354.2542342418164","0.013671875","0.0166015625","0.0107421875","2180","0.00009713775172014878","32","0.00009713775172014878","0","0.00009713775172014878","0.00009713775172014878","39:0.006099098314046009;32:0.0029373783540359577;34:0.003169715976464843","39:68;32:68;34:108","39:0.0015480732488515336;32:0.0020002317013306514;34:0.0020847239906855164","0.013671875","0.012939453125","Yes"
"34","333.46305657352633","24.517870984365498","0.16845703125","0.2841796875","0.052734375","2180","0.00025441188584993606","32","0.00025441188584993606","0","0.00025441188584993606","0.00025441188584993606","33:0.003169715976464843;35:0.0013555992688907281","33:108;35:68","33:0.0020847239906855164;35:0.0011438887932380681","0.16845703125","0.031494140625","Yes"
"35","256.2470497275678","271.6270411935745","0.030517578125","0.02197265625","0.0390625","2180","0.00012878680447064162","32","0.00012878680447064162","0","0.00012878680447064162","0.00012878680447064162","19:0.0010197302472995107;34:0.0013555992688907281","19:68;34:68","19:0.0009521425680812656;34:0.0011438887932380681","0.030517578125","0.05712890625","Yes"
"36","255.87597888774405","66.13663353054794","0.0029296875","0.0048828125","0.0009765625","2180","0.0003143057869029462","32","0.0003143057869029462","0","0.0003143057869029462","0.0003143057869029462","41:0.0031857691049361203;21:0.0012288208499565412","41:68;21:68","41:0.002466920041163556;21:0.0013026053909912239","0.0029296875","0.00439453125","Yes"
"37","158.26134286175548","22.41174045248352","0.00732421875","0.00830078125","0.00634765625","2180","0.0002716869249965363","32","0.0002716869249965363","0","0.0002716869249965363","0.0002716869249965363","45:0.002417893878434718;25:0.0025448588072768397","45:68;25:68","45:0.0026791335037842923;25:0.0030599028298861075","0.00732421875","0.009765625","Yes"
"38","258.52894683011544","116.1629497410037","0.005859375","0.00732421875","0.00439453125","2180","0.00025848273542312754","32","0.00025848273542312754","0","0.00025848273542312754","0.00025848273542312754","29:0.005822294060375405;49:0.0018217666130030674","29:68;49:68","29:0.0026213245347408987;49:0.00159345622698287","0.005859375","0.0068359375","Yes"
