t,d2,d_out,p_out,p_out_unitary,delta_p_out,A_stationary_frobenius,B_frobenius,trace_error,hermitian_error,A_min_eigenvalue,pair_index,physical_min_eigenvalue
4.740000000000000568e+01,5.296742595907286133e-02,1.207293925197363837e-01,7.655519233253793576e-02,4.177136440525447414e-03,7.237805589201248835e-02,7.621482837215588502e-01,7.253362650065366997e-10,1.354613945013071796e-14,2.881827089019957083e-13,8.868070681367554425e-04,5.000000000000000000e+00,4.434035340161371201e-04
4.750000000000000000e+01,6.806605491369532857e-02,1.164311915098235478e-01,7.680464427400837679e-02,4.611043979572571061e-03,7.219360029443580573e-02,7.620503283857241739e-01,7.037230929973394473e-10,1.421230586698929968e-14,3.066212115842334160e-13,8.882324452164904946e-04,5.000000000000000000e+00,4.441162225584863307e-04
4.760000000000000142e+01,7.556757129917385241e-02,1.095538347852118843e-01,7.708328164048444675e-02,5.164391416084990194e-03,7.191889022439945656e-02,7.620235265784236489e-01,6.835037753029967041e-10,1.443484038709271547e-14,2.891002024757902105e-13,8.885055367338428548e-04,5.000000000000000000e+00,4.442527683200091920e-04
4.770000000000000284e+01,7.364090077437304704e-02,1.026752790159774498e-01,7.736003335861743602e-02,5.754569047252133807e-03,7.160546431136530221e-02,7.620207400147163135e-01,6.643013101104707104e-10,1.421339919552163696e-14,3.073869987283608159e-13,8.885992287006398141e-04,5.000000000000000000e+00,4.442996143061012093e-04
4.780000000000000426e+01,6.278549893852428121e-02,9.915771423877545176e-02,7.762434518909189229e-02,6.314163032525715868e-03,7.131018215656617643e-02,7.619869093972001517e-01,6.455828459331085501e-10,1.454647521428629203e-14,2.968829374649532930e-13,8.894649328792692423e-04,5.000000000000000000e+00,4.447324663976446636e-04
4.790000000000000568e+01,4.566145300405230478e-02,1.012619468313072368e-01,7.788657757815219129e-02,6.805029232641618409e-03,7.108154834551057288e-02,7.618771978153023872e-01,6.269138558711337516e-10,1.465722490256857081e-14,3.078551030783191378e-13,8.918404072084430440e-04,5.000000000000000000e+00,4.459202035634732470e-04
4.800000000000000000e+01,5.506386267992957606e-02,1.080802757448822843e-01,7.817015076409443430e-02,7.220972983284668079e-03,7.094917778080976623e-02,7.616717509437878064e-01,6.081466528456189541e-10,1.487823069984613293e-14,3.079380989645675425e-13,8.960798839467863566e-04,9.000000000000000000e+00,4.480399419324589626e-04
4.810000000000000142e+01,6.945711567639775708e-02,1.163932423020122842e-01,7.849838551294237299e-02,7.579179636786087526e-03,7.091920587615628546e-02,7.613821333924483126e-01,5.894643139619570282e-10,1.432198859533607219e-14,3.080273837213226472e-13,9.019835709323389223e-04,9.000000000000000000e+00,4.509917854239754026e-04
4.820000000000000284e+01,7.295077041336323065e-02,1.230282312288343560e-01,7.888080845466841073e-02,7.904536271182968643e-03,7.097627218348544209e-02,7.610473987256242134e-01,5.712549436074513357e-10,1.465537447839979617e-14,2.902584005679918196e-13,9.087477114977975329e-04,9.000000000000000000e+00,4.543738557055269391e-04
4.830000000000000426e+01,6.446282783916598702e-02,1.259832560556184422e-01,7.930391141635675933e-02,8.213458017461473110e-03,7.109045339889528969e-02,7.607212428061126408e-01,5.538801822368714591e-10,1.465708147739828867e-14,3.080499419409437854e-13,9.151795461638159018e-04,9.000000000000000000e+00,4.575897730386088193e-04
