N,topo,Qstar,Q,delta,signedDelta,imMax,rigidity,K,rate
4,ring,1.878584,1.898661,0.020078,0.020078,4.059252934e-16,0.454066022,4.8502,0.888546859
4,ring,1.878584,1.901114,0.02253,0.02253,5.090138883e-16,0.760371318,1.7296,0.887864536
4,ring,1.878584,1.903865,0.025282,0.025282,2.775557562e-17,0.421402767,5.6313,0.887098682
4,ring,1.878584,1.906953,0.028369,0.028369,4.718447855e-16,0.751243997,1.7719,0.886239063
4,ring,1.878584,1.910418,0.031834,0.031834,4.409024187e-17,0.77175039,1.679,0.885274193
4,ring,1.878584,1.914306,0.035723,0.035723,2.027458063e-17,0.757915194,1.7408,0.884191186
4,ring,1.878584,1.91867,0.040086,0.040086,6.583510643e-17,0.558673788,3.2039,0.882975584
4,ring,1.878584,1.923566,0.044982,0.044982,1.857060445e-16,0.759842304,1.732,0.881611178
4,ring,1.878584,1.92906,0.050476,0.050476,3.885780586e-16,0.735761161,1.8473,0.880079801
4,ring,1.878584,1.935225,0.056641,0.056641,1.110223025e-16,0.758111912,1.7399,0.8783611
4,ring,1.878584,1.942143,0.063559,0.063559,4.2378943e-16,0.742298909,1.8149,0.876432302
4,ring,1.878584,1.949905,0.071322,0.071322,5.551115123e-17,0.76333784,1.7162,0.87426794
4,ring,1.878584,1.958617,0.080033,0.080033,1.102739489e-16,0.725635321,1.8992,0.87183958
4,ring,1.878584,1.968392,0.089808,0.089808,0e+00,0.384815516,6.753,0.869115519
4,ring,1.878584,1.979361,0.100777,0.100777,1.110223025e-16,0.537579619,3.4603,0.866060486
4,ring,1.878584,1.991669,0.113085,0.113085,0e+00,0.78201088,1.6352,0.862635334
4,ring,1.878584,2.005481,0.126898,0.126898,3.330669074e-16,0.744727627,1.803,0.858796744
4,ring,1.878584,2.02098,0.142397,0.142397,2.327892179e-16,0.758762284,1.737,0.854496965
4,ring,1.878584,2.038373,0.159789,0.159789,1.333907485e-16,0.772666191,1.675,0.849683592
4,ring,1.878584,2.057889,0.179305,0.179305,3.330669074e-16,0.739888013,1.8267,0.844299441
4,ring,1.878584,2.079789,0.201205,0.201205,2.220446049e-16,0.772972281,1.6737,0.838282522
