N,topo,Q,pc,pr,dn,route,frozen,imMax,nXy,rate,rigidity
4,ring,3.1525,2,2,0,FrozenLevelCrossing,1,5.303628304e-17,0.947179722,0.600907035,0.332287858
4,ring,3.564244,2,2,0,FrozenLevelCrossing,1,1.423304534e-17,0.959100613,0.538178973,0.88737606
4,ring,4.029766,2,2,0,FrozenLevelCrossing,1,1.387778781e-17,0.968264811,0.480556401,0.934377498
4,ring,4.556088,2,2,0,FrozenCommutant,1,2.556265348e-16,0.975333706,0.428145231,0.870094626
4,ring,5.151153,2,2,0,FrozenCommutant,1,1.540109186e-16,0.980801839,0.380808654,0.949218571
4,ring,5.823939,2,2,0,FrozenCommutant,1,2.33537148e-16,0.985041519,0.338273311,0.963596433
4,ring,6.584596,2,2,0,FrozenCommutant,1,5.551115123e-17,0.988334875,0.300196054,0.954245908
4,ring,7.444602,2,2,0,FrozenCommutant,1,2.491970931e-17,0.990896957,0.266205494,0.907205976
4,ring,8.416932,2,2,0,FrozenCommutant,1,1.033627933e-16,0.99289251,0.235927418,0.914523444
4,ring,9.516257,2,2,0,FrozenCommutant,1,5.551115123e-17,0.994448265,0.208999879,0.969221634
4,ring,10.759163,2,2,0,FrozenCommutant,1,6.938893904e-17,0.995662048,0.185081689,0.975084768
4,ring,12.164404,2,2,0,FrozenCommutant,1,1.138412281e-18,0.996609582,0.163856706,0.967341839
4,ring,13.753182,2,2,0,FrozenCommutant,1,8.706143445e-17,0.997349608,0.145035475,0.945965055
4,ring,15.549467,2,2,0,FrozenCommutant,1,2.220446049e-16,0.997927779,0.128355237,0.963483354
4,ring,17.580364,2,2,0,FrozenCommutant,1,8.961445942e-18,0.998379622,0.11357895,0.456138313
4,ring,19.876513,2,2,0,FrozenCommutant,1,1.110223025e-16,0.998732818,0.100493766,0.833087052
4,ring,22.472559,2,2,0,FrozenCommutant,1,1.110223025e-16,0.999008952,0.088909229,0.88043986
