"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"27","144.35678085591437","129.07338659872366","0.0126953125","0.0205078125","0.0048828125","2584","0.0003064936189523398","36","0.0003064936189523398","0","0.0003064936189523398","0.0003064936189523398","26:0.01019477673856825;28:0.001699561109441916;17:0.002070952156546596","26:68;28:68;17:68","26:0.013327252140409612;28:0.0021222620657270486;17:0.002659714084352033","0.0126953125","Yes"
"28","301.42194854497694","237.10065217143168","0.010009765625","0.01416015625","0.005859375","2584","0.0003106784936925719","36","0.0003106784936925719","0","0.0003106784936925719","0.0003106784936925719","27:0.001699561109441916;29:0.003511263220996902","27:68;29:68","27:0.0021222620657270486;29:0.002094154972204665","0.010009765625","Yes"
"29","132.3441137264915","139.74172820158606","0.0791015625","0.0693359375","0.0888671875","2584","0.0005555380396092009","36","0.0005555380396092009","0","0.0005555380396092009","0.0005555380396092009","38:0.0026885200016239508;28:0.003511263220996902;30:0.00325546433936838","38:68;28:68;30:68","38:0.002439341741625023;28:0.002094154972204665;30:0.0033866692808669774","0.0791015625","Yes"
"30","226.1499866498854","97.18582655056122","0.013427734375","0.02294921875","0.00390625","2584","0.00037188993732054256","36","0.00037188993732054256","0","0.00037188993732054256","0.00037188993732054256","31:0.003559329155986918;29:0.00325546433936838","31:68;29:68","31:0.0036208172291348484;29:0.0033866692808669774","0.013427734375","Yes"
"31","88.92095508566648","55.465914566698025","0.013671875","0.0146484375","0.0126953125","2584","0.0002022331347008866","36","0.0002022331347008866","0","0.0002022331347008866","0.0002022331347008866","30:0.003559329155986918;32:0.0038805041294174836;18:0.0027293813884245177","30:68;32:68;18:68","30:0.0036208172291348484;32:0.0029055597797914;18:0.003349259488488937","0.013671875","Yes"
"32","182.28899721566268","44.50464316225502","0.00732421875","0.01171875","0.0029296875","2584","0.0004088803679312504","36","0.0004088803679312504","0","0.0004088803679312504","0.0004088803679312504","31:0.0038805041294174836;33:0.0020496195644440496","31:68;33:68","31:0.0029055597797914;33:0.0021878829510922626","0.00732421875","Yes"
"33","158.24657401947564","154.0837162732438","0.0068359375","0.0087890625","0.0048828125","2584","0.00031892699750948964","36","0.00031892699750948964","0","0.00031892699750948964","0.00031892699750948964","39:0.0014977111298653256;32:0.0020496195644440496;34:0.0013729087902889514","39:68;32:68;34:68","32:0.0021878829510922626;34:0.001648975640206829","0.0068359375","Yes"
"34","161.28396788019154","157.89035407256566","0.008544921875","0.0126953125","0.00439453125","2584","0.0005012236945149241","36","0.0005012236945149241","0","0.0005012236945149241","0.0005012236945149241","33:0.0013729087902889514;35:0.0017436215662432197","33:68;35:68","33:0.001648975640206829;35:0.0013522561697063284","0.008544921875","Yes"
"35","362.1222589409679","361.92832743884776","0.00927734375","0.0126953125","0.005859375","2584","0.00012480049240553112","36","0.00012480049240553112","0","0.00012480049240553112","0.00012480049240553112","19:0.0020262473192120267;34:0.0017436215662432197","19:80;34:68","19:0.002864828247229112;34:0.0013522561697063284","0.00927734375","Yes"
"36","265.53176125277685","91.85258833149798","0.013427734375","0.01708984375","0.009765625","2584","0.00357106755541906","36","0.00357106755541906","0","0.00357106755541906","0.00357106755541906","41:0.0031342170524386037;21:0.002807150560702243","41:68;21:68","41:0.016859726284003423;21:0.0024088463431846396","0.013427734375","Yes"
