=== TEMPORAL SACRIFICE PROTOCOL ===
Edge -> Center switch sweep at N=7
Phase 1: [0.344, 0.001x6], Phase 2: [0.001x3, 0.344, 0.001x3]
Baselines: Edge SumMI=0.4076 PeakMI=0.0364 PeakT=2.00 | Center SumMI=0.1818 PeakMI=0.1089 PeakT=1.00

--- t_switch=0.5 ---
T=4.50 SumMI=0.165890 PeakMI=0.026950 Phase=2
T=5.00 SumMI=0.131914 PeakMI=0.032291 Phase=2
T=5.50 SumMI=0.089356 PeakMI=0.032684 Phase=2
T=6.00 SumMI=0.053648 PeakMI=0.032970 Phase=2
T=6.50 SumMI=0.047068 PeakMI=0.024741 Phase=2
T=7.00 SumMI=0.045029 PeakMI=0.017333 Phase=2
T=7.50 SumMI=0.037251 PeakMI=0.008291 Phase=2
T=8.00 SumMI=0.031659 PeakMI=0.004021 Phase=2
T=8.50 SumMI=0.029987 PeakMI=0.002046 Phase=2
T=9.00 SumMI=0.026111 PeakMI=0.001825 Phase=2
T=9.50 SumMI=0.022656 PeakMI=0.001814 Phase=2
T=10.00 SumMI=0.019550 PeakMI=0.002514 Phase=2
T=10.50 SumMI=0.017586 PeakMI=0.003967 Phase=2
T=11.00 SumMI=0.015713 PeakMI=0.004637 Phase=2
T=11.50 SumMI=0.013800 PeakMI=0.005010 Phase=2
T=12.00 SumMI=0.012466 PeakMI=0.005049 Phase=2
T=12.50 SumMI=0.010689 PeakMI=0.004813 Phase=2
T=13.00 SumMI=0.009275 PeakMI=0.004776 Phase=2
T=13.50 SumMI=0.008635 PeakMI=0.004603 Phase=2
T=14.00 SumMI=0.007978 PeakMI=0.004147 Phase=2
T=14.50 SumMI=0.006990 PeakMI=0.003454 Phase=2
T=15.00 SumMI=0.006060 PeakMI=0.003054 Phase=2
T=15.50 SumMI=0.005308 PeakMI=0.003013 Phase=2
T=16.00 SumMI=0.004840 PeakMI=0.002868 Phase=2
T=16.50 SumMI=0.004242 PeakMI=0.002425 Phase=2
T=17.00 SumMI=0.003758 PeakMI=0.002333 Phase=2
T=17.50 SumMI=0.003370 PeakMI=0.002601 Phase=2
T=18.00 SumMI=0.003171 PeakMI=0.002888 Phase=2
T=18.50 SumMI=0.003061 PeakMI=0.002800 Phase=2
T=19.00 SumMI=0.003001 PeakMI=0.002687 Phase=2
T=19.50 SumMI=0.003012 PeakMI=0.002816 Phase=2
T=20.00 SumMI=0.003059 PeakMI=0.003039 Phase=2
RESULT SumMI=0.407596 PeakMI=0.032970 PeakT=2.00 SwitchT=4.00


=== REVERSE: Center -> Edge ===
--- t_switch=1.0 (center first) ---
T=0.50 SumMI=0.111411 PeakMI=0.000317 Phase=1
T=1.00 SumMI=0.181809 PeakMI=0.031208 Phase=1
T=1.50 SumMI=0.053835 PeakMI=0.028382 Phase=2
T=2.00 SumMI=0.155350 PeakMI=0.018780 Phase=2
T=2.50 SumMI=0.181923 PeakMI=0.013447 Phase=2
T=3.00 SumMI=0.208533 PeakMI=0.009760 Phase=2
T=3.50 SumMI=0.190637 PeakMI=0.000948 Phase=2
T=4.00 SumMI=0.182907 PeakMI=0.005610 Phase=2
T=4.50 SumMI=0.129676 PeakMI=0.006436 Phase=2
T=5.00 SumMI=0.119563 PeakMI=0.008495 Phase=2
T=5.50 SumMI=0.112155 PeakMI=0.014675 Phase=2
T=6.00 SumMI=0.113466 PeakMI=0.022238 Phase=2
T=6.50 SumMI=0.118274 PeakMI=0.024480 Phase=2
T=7.00 SumMI=0.127432 PeakMI=0.021143 Phase=2
T=7.50 SumMI=0.122151 PeakMI=0.021215 Phase=2
T=8.00 SumMI=0.112336 PeakMI=0.019104 Phase=2
T=8.50 SumMI=0.121349 PeakMI=0.013195 Phase=2
T=9.00 SumMI=0.125387 PeakMI=0.011332 Phase=2
T=9.50 SumMI=0.122068 PeakMI=0.010637 Phase=2
T=10.00 SumMI=0.114297 PeakMI=0.009421 Phase=2
T=10.50 SumMI=0.110002 PeakMI=0.008317 Phase=2
T=11.00 SumMI=0.105074 PeakMI=0.007385 Phase=2
T=11.50 SumMI=0.099867 PeakMI=0.007004 Phase=2
T=12.00 SumMI=0.095322 PeakMI=0.006659 Phase=2
T=12.50 SumMI=0.094502 PeakMI=0.005698 Phase=2
T=13.00 SumMI=0.092736 PeakMI=0.005339 Phase=2
T=13.50 SumMI=0.088033 PeakMI=0.004970 Phase=2
T=14.00 SumMI=0.083960 PeakMI=0.004449 Phase=2
T=14.50 SumMI=0.080677 PeakMI=0.003953 Phase=2
T=15.00 SumMI=0.078175 PeakMI=0.003471 Phase=2
T=15.50 SumMI=0.075385 PeakMI=0.002997 Phase=2
T=16.00 SumMI=0.072575 PeakMI=0.002714 Phase=2
T=16.50 SumMI=0.069942 PeakMI=0.002521 Phase=2
T=17.00 SumMI=0.067371 PeakMI=0.002430 Phase=2
T=17.50 SumMI=0.065119 PeakMI=0.002387 Phase=2
T=18.00 SumMI=0.062262 PeakMI=0.002382 Phase=2
T=18.50 SumMI=0.059096 PeakMI=0.002329 Phase=2
T=19.00 SumMI=0.056675 PeakMI=0.002190 Phase=2
T=19.50 SumMI=0.055002 PeakMI=0.002036 Phase=2
T=20.00 SumMI=0.053173 PeakMI=0.001948 Phase=2
RESULT SumMI=0.208533 PeakMI=0.031208 PeakT=3.00 SwitchT=1.00

--- t_switch=2.0 (center first) ---
T=0.50 SumMI=0.111411 PeakMI=0.000317 Phase=1
T=1.00 SumMI=0.181809 PeakMI=0.031208 Phase=1
T=1.50 SumMI=0.113187 PeakMI=0.082379 Phase=1
T=2.00 SumMI=0.044940 PeakMI=0.077653 Phase=1
T=2.50 SumMI=0.036601 PeakMI=0.039735 Phase=2
T=3.00 SumMI=0.096409 PeakMI=0.045510 Phase=2
T=3.50 SumMI=0.108446 PeakMI=0.026724 Phase=2
T=4.00 SumMI=0.108037 PeakMI=0.007298 Phase=2
T=4.50 SumMI=0.121912 PeakMI=0.000232 Phase=2
T=5.00 SumMI=0.102276 PeakMI=0.002423 Phase=2
T=5.50 SumMI=0.083553 PeakMI=0.004119 Phase=2
T=6.00 SumMI=0.072452 PeakMI=0.007607 Phase=2
T=6.50 SumMI=0.067328 PeakMI=0.011601 Phase=2
T=7.00 SumMI=0.070744 PeakMI=0.016057 Phase=2
T=7.50 SumMI=0.074890 PeakMI=0.018224 Phase=2
T=8.00 SumMI=0.073367 PeakMI=0.016315 Phase=2
T=8.50 SumMI=0.072849 PeakMI=0.014665 Phase=2
T=9.00 SumMI=0.073946 PeakMI=0.013913 Phase=2
T=9.50 SumMI=0.075551 PeakMI=0.010691 Phase=2
T=10.00 SumMI=0.075650 PeakMI=0.008756 Phase=2
T=10.50 SumMI=0.072688 PeakMI=0.007817 Phase=2
