edge	angle_deg	verdict	pairing_error	rate_error
frustration	82.5000	Hard	1.568519E-002	1.568519E-002
field	83.0000	Hard	3.940735E-001	2.963237E-003
frustration	83.0000	Hard	1.613519E-002	1.613519E-002
field	83.5000	Hard	3.948865E-001	2.556764E-003
frustration	83.5000	Hard	1.658832E-002	1.658832E-002
field	84.0000	Hard	3.956402E-001	2.179908E-003
frustration	84.0000	Hard	1.773378E-002	1.703883E-002
field	84.5000	Hard	3.963344E-001	1.832783E-003
frustration	84.5000	Hard	1.875575E-002	1.747974E-002
field	85.0000	Hard	3.969690E-001	1.515493E-003
frustration	85.0000	Hard	1.938056E-002	1.790317E-002
field	85.5000	Hard	3.975437E-001	1.228133E-003
frustration	85.5000	Hard	2.205897E-002	1.698072E-002
field	86.0000	Hard	3.980584E-001	9.707897E-004
frustration	86.0000	Hard	2.367309E-002	1.810579E-002
field	86.5000	Hard	3.985129E-001	7.435398E-004
frustration	86.5000	Hard	2.197679E-002	1.886392E-002
field	87.0000	Hard	3.989071E-001	5.464518E-004
frustration	87.0000	Hard	1.982519E-002	1.933038E-002
field	87.5000	Hard	3.992408E-001	3.795848E-004
frustration	87.5000	Hard	1.981326E-002	1.959274E-002
field	88.0000	Hard	3.995140E-001	2.429890E-004
frustration	88.0000	Hard	1.981254E-002	1.972970E-002
field	88.5000	Hard	3.997266E-001	1.367052E-004
frustration	88.5000	Hard	1.982279E-002	1.979862E-002
field	89.0000	Hard	3.998785E-001	6.076548E-005
frustration	89.0000	Hard	1.983801E-002	1.983354E-002
field	89.5000	Hard	3.999696E-001	1.519251E-005
frustration	89.5000	Hard	1.996267E-002	1.985064E-002
field	90.0000	Hard	4.000000E-001	4.829470E-015
frustration	90.0000	Hard	1.990782E-002	1.985590E-002
