scenario,t,SumMI,Purity,MI_01,MI_12,MI_23,MI_34,CPsi_01,CPsi_12
"6 Sacrifice, Selective DD",0.0,3.8441118045779016e-15,0.9999999999999991,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,0.9999999999999978,0.9999999999999978
"6 Sacrifice, Selective DD",0.5,0.055620345420249774,0.7715487429879808,0.04423742270257469,0.010950483053280058,0.00038388578436976406,4.855388002526079e-05,0.6676987168328027,0.8879091945820066
"6 Sacrifice, Selective DD",1.0,0.1493334761435987,0.6148306238159609,0.061374891468601755,0.053997785233855455,0.02698226680461152,0.006978532636529977,0.5457151931935561,0.6929718458750017
"6 Sacrifice, Selective DD",1.5,0.20061728096341291,0.4962715476264671,0.06821258996942037,0.05336430266890213,0.04120518594887679,0.03783520237621363,0.4975648959882901,0.6124509018725857
"6 Sacrifice, Selective DD",2.0,0.14474611753581446,0.40404530082240697,0.06724015472930467,0.050001257076448424,0.01880419050831572,0.008700515221745642,0.4478472492886598,0.5341402760076557
"6 Sacrifice, Selective DD",2.5,0.08896727064701393,0.3331088060958366,0.04473866252347847,0.03145591826742655,0.008228736905952272,0.004543952950156638,0.38164083956631334,0.48369891698853307
"6 Sacrifice, Selective DD",3.0,0.07416854768830605,0.28184029075900396,0.02676999957733539,0.030481652875865795,0.009872130050012196,0.007044765185092672,0.3227353404304691,0.45277930974784447
"6 Sacrifice, Selective DD",3.5,0.08969540433147927,0.24225684021913663,0.02674778187584348,0.0307468815265306,0.01984023908020771,0.012360501848897476,0.29732611652092056,0.39255767962544835
"6 Sacrifice, Selective DD",4.0,0.09890897730439452,0.2085812418889554,0.022731437986245773,0.02444231218188664,0.03392423921222232,0.01781098792403979,0.28805776661886334,0.3558276458791236
"6 Sacrifice, Selective DD",4.5,0.09436743099299094,0.17996691911015328,0.02041128818465121,0.0242571686201023,0.03406740454038082,0.015631569647856614,0.2761279758747358,0.3349839677424313
"6 Sacrifice, Selective DD",5.0,0.08036680038268096,0.15587887202156364,0.019779379286497534,0.022690597151201697,0.021397143897490922,0.016499680047490806,0.26273073326187385,0.3135458341005168
